date,year,month,monthly_avg_revenue_per_room,prev_year_monthly_avg,monthly_percentage_difference,ytd_avg_revenue_per_room,prev_year_ytd_avg,ytd_percentage_difference,monthly_avg_revenue_per_room_2019,c2019_percentage_difference,ytd_month_range
2016-01-01,2016,1,48.200000,,,48.200000,0.000000,,53.500000,-9.900000,January - January
2016-02-01,2016,2,46.600000,,,47.400000,0.000000,,81.000000,-42.500000,January - February
2016-03-01,2016,3,69.500000,,,54.800000,0.000000,,72.100000,-3.600000,January - March
2016-04-01,2016,4,67.000000,,,57.800000,0.000000,,66.100000,1.400000,January - April
2016-05-01,2016,5,84.300000,,,63.100000,0.000000,,99.100000,-14.900000,January - May
2016-06-01,2016,6,121.300000,,,72.800000,0.000000,,142.300000,-14.800000,January - June
2016-07-01,2016,7,118.200000,,,79.300000,0.000000,,143.500000,-17.600000,January - July
2016-08-01,2016,8,121.000000,,,84.500000,0.000000,,146.500000,-17.400000,January - August
2016-09-01,2016,9,108.700000,,,87.200000,0.000000,,122.200000,-11.000000,January - September
2016-10-01,2016,10,72.000000,,,85.700000,0.000000,,80.900000,-11.000000,January - October
2016-11-01,2016,11,69.000000,,,84.200000,0.000000,,71.900000,-4.000000,January - November
2016-12-01,2016,12,51.200000,,,81.400000,0.000000,,53.200000,-3.800000,January - December
2017-01-01,2017,1,52.200000,48.200000,8.300000,52.200000,48.200000,8.300000,53.500000,-2.400000,January - January
2017-02-01,2017,2,68.800000,46.600000,47.600000,60.500000,47.400000,27.600000,81.000000,-15.100000,January - February
2017-03-01,2017,3,70.200000,69.500000,1.000000,63.700000,54.800000,16.200000,72.100000,-2.600000,January - March
2017-04-01,2017,4,61.400000,67.000000,-8.400000,63.200000,57.800000,9.300000,66.100000,-7.100000,January - April
2017-05-01,2017,5,83.000000,84.300000,-1.500000,67.100000,63.100000,6.300000,99.100000,-16.200000,January - May
2017-06-01,2017,6,124.500000,121.300000,2.600000,76.700000,72.800000,5.400000,142.300000,-12.500000,January - June
2017-07-01,2017,7,133.500000,118.200000,12.900000,84.800000,79.300000,6.900000,143.500000,-7.000000,January - July
2017-08-01,2017,8,127.500000,121.000000,5.400000,90.100000,84.500000,6.600000,146.500000,-13.000000,January - August
2017-09-01,2017,9,117.000000,108.700000,7.600000,93.100000,87.200000,6.800000,122.200000,-4.300000,January - September
2017-10-01,2017,10,71.300000,72.000000,-1.000000,90.900000,85.700000,6.100000,80.900000,-11.900000,January - October
2017-11-01,2017,11,69.900000,69.000000,1.300000,89.000000,84.200000,5.700000,71.900000,-2.800000,January - November
2017-12-01,2017,12,49.200000,51.200000,-3.900000,85.700000,81.400000,5.300000,53.200000,-7.500000,January - December
2018-01-01,2018,1,49.300000,52.200000,-5.600000,49.300000,52.200000,-5.600000,53.500000,-7.900000,January - January
2018-02-01,2018,2,74.100000,68.800000,7.700000,61.700000,60.500000,2.000000,81.000000,-8.500000,January - February
2018-03-01,2018,3,73.300000,70.200000,4.400000,65.600000,63.700000,3.000000,72.100000,1.700000,January - March
2018-04-01,2018,4,65.400000,61.400000,6.500000,65.500000,63.200000,3.600000,66.100000,-1.100000,January - April
2018-05-01,2018,5,84.800000,83.000000,2.200000,69.400000,67.100000,3.400000,99.100000,-14.400000,January - May
2018-06-01,2018,6,142.100000,124.500000,14.100000,81.500000,76.700000,6.300000,142.300000,-0.100000,January - June
2018-07-01,2018,7,145.600000,133.500000,9.100000,90.700000,84.800000,7.000000,143.500000,1.500000,January - July
2018-08-01,2018,8,142.900000,127.500000,12.100000,97.200000,90.100000,7.900000,146.500000,-2.500000,January - August
2018-09-01,2018,9,123.800000,117.000000,5.800000,100.100000,93.100000,7.500000,122.200000,1.300000,January - September
2018-10-01,2018,10,79.400000,71.300000,11.400000,98.100000,90.900000,7.900000,80.900000,-1.900000,January - October
2018-11-01,2018,11,70.700000,69.900000,1.100000,95.600000,89.000000,7.400000,71.900000,-1.700000,January - November
2018-12-01,2018,12,50.500000,49.200000,2.600000,91.800000,85.700000,7.100000,53.200000,-5.100000,January - December
2019-01-01,2019,1,53.500000,49.300000,8.500000,53.500000,49.300000,8.500000,53.500000,0.000000,January - January
2019-02-01,2019,2,81.000000,74.100000,9.300000,67.300000,61.700000,9.100000,81.000000,0.000000,January - February
2019-03-01,2019,3,72.100000,73.300000,-1.600000,68.900000,65.600000,5.000000,72.100000,0.000000,January - March
2019-04-01,2019,4,66.100000,65.400000,1.100000,68.200000,65.500000,4.100000,66.100000,0.000000,January - April
2019-05-01,2019,5,99.100000,84.800000,16.900000,74.400000,69.400000,7.200000,99.100000,0.000000,January - May
2019-06-01,2019,6,142.300000,142.100000,0.100000,85.700000,81.500000,5.200000,142.300000,0.000000,January - June
2019-07-01,2019,7,143.500000,145.600000,-1.400000,93.900000,90.700000,3.500000,143.500000,0.000000,January - July
2019-08-01,2019,8,146.500000,142.900000,2.500000,100.500000,97.200000,3.400000,146.500000,0.000000,January - August
2019-09-01,2019,9,122.200000,123.800000,-1.300000,102.900000,100.100000,2.800000,122.200000,0.000000,January - September
2019-10-01,2019,10,80.900000,79.400000,1.900000,100.700000,98.100000,2.700000,80.900000,0.000000,January - October
2019-11-01,2019,11,71.900000,70.700000,1.700000,98.100000,95.600000,2.600000,71.900000,0.000000,January - November
2019-12-01,2019,12,53.200000,50.500000,5.300000,94.400000,91.800000,2.800000,53.200000,0.000000,January - December
2020-01-01,2020,1,57.200000,53.500000,6.900000,57.200000,53.500000,6.900000,53.500000,6.900000,January - January
2020-02-01,2020,2,80.100000,81.000000,-1.100000,68.700000,67.300000,2.100000,81.000000,-1.100000,January - February
2020-03-01,2020,3,49.700000,72.100000,-31.100000,62.300000,68.900000,-9.600000,72.100000,-31.100000,January - March
2020-04-01,2020,4,15.800000,66.100000,-76.100000,50.700000,68.200000,-25.700000,66.100000,-76.100000,January - April
2020-05-01,2020,5,26.500000,99.100000,-73.300000,45.900000,74.400000,-38.300000,99.100000,-73.300000,January - May
2020-06-01,2020,6,27.900000,142.300000,-80.400000,42.900000,85.700000,-49.900000,142.300000,-80.400000,January - June
2020-07-01,2020,7,51.700000,143.500000,-64.000000,44.100000,93.900000,-53.000000,143.500000,-64.000000,January - July
2020-08-01,2020,8,53.600000,146.500000,-63.400000,45.300000,100.500000,-54.900000,146.500000,-63.400000,January - August
2020-09-01,2020,9,53.400000,122.200000,-56.300000,46.200000,102.900000,-55.100000,122.200000,-56.300000,January - September
2020-10-01,2020,10,40.500000,80.900000,-49.900000,45.600000,100.700000,-54.700000,80.900000,-49.900000,January - October
2020-11-01,2020,11,32.300000,71.900000,-55.100000,44.400000,98.100000,-54.700000,71.900000,-55.100000,January - November
2020-12-01,2020,12,20.400000,53.200000,-61.700000,42.400000,94.400000,-55.100000,53.200000,-61.700000,January - December
2021-01-01,2021,1,21.500000,57.200000,-62.400000,21.500000,57.200000,-62.400000,53.500000,-59.800000,January - January
2021-02-01,2021,2,28.900000,80.100000,-63.900000,25.200000,68.700000,-63.300000,81.000000,-64.300000,January - February
2021-03-01,2021,3,34.800000,49.700000,-30.000000,28.400000,62.300000,-54.400000,72.100000,-51.700000,January - March
2021-04-01,2021,4,34.500000,15.800000,118.400000,29.900000,50.700000,-41.000000,66.100000,-47.800000,January - April
2021-05-01,2021,5,43.500000,26.500000,64.200000,32.600000,45.900000,-29.000000,99.100000,-56.100000,January - May
2021-06-01,2021,6,47.200000,27.900000,69.200000,35.100000,42.900000,-18.200000,142.300000,-66.800000,January - June
2021-07-01,2021,7,71.000000,51.700000,37.300000,40.200000,44.100000,-8.800000,143.500000,-50.500000,January - July
2021-08-01,2021,8,96.000000,53.600000,79.100000,47.200000,45.300000,4.200000,146.500000,-34.500000,January - August
2021-09-01,2021,9,79.900000,53.400000,49.600000,50.800000,46.200000,10.000000,122.200000,-34.600000,January - September
2021-10-01,2021,10,65.700000,40.500000,62.200000,52.300000,45.600000,14.700000,80.900000,-18.800000,January - October
2021-11-01,2021,11,60.400000,32.300000,87.000000,53.000000,44.400000,19.400000,71.900000,-16.000000,January - November
2021-12-01,2021,12,54.600000,20.400000,167.600000,53.200000,42.400000,25.500000,53.200000,2.600000,January - December
2022-01-01,2022,1,47.700000,21.500000,121.900000,47.700000,21.500000,121.900000,53.500000,-10.800000,January - January
2022-02-01,2022,2,62.600000,28.900000,116.600000,55.200000,25.200000,119.000000,81.000000,-22.700000,January - February
2022-03-01,2022,3,54.300000,34.800000,56.000000,54.900000,28.400000,93.300000,72.100000,-24.700000,January - March
2022-04-01,2022,4,60.800000,34.500000,76.200000,56.400000,29.900000,88.600000,66.100000,-8.000000,January - April
2022-05-01,2022,5,84.800000,43.500000,94.900000,62.000000,32.600000,90.200000,99.100000,-14.400000,January - May
2022-06-01,2022,6,144.200000,47.200000,205.500000,75.700000,35.100000,115.700000,142.300000,1.300000,January - June
2022-07-01,2022,7,162.300000,71.000000,128.600000,88.100000,40.200000,119.200000,143.500000,13.100000,January - July
2022-08-01,2022,8,176.700000,96.000000,84.100000,99.200000,47.200000,110.200000,146.500000,20.600000,January - August
2022-09-01,2022,9,146.500000,79.900000,83.400000,104.400000,50.800000,105.500000,122.200000,19.900000,January - September
2022-10-01,2022,10,91.300000,65.700000,39.000000,103.100000,52.300000,97.100000,80.900000,12.900000,January - October
2022-11-01,2022,11,85.300000,60.400000,41.200000,101.500000,53.000000,91.500000,71.900000,18.600000,January - November
2022-12-01,2022,12,62.200000,54.600000,13.900000,98.200000,53.200000,84.600000,53.200000,16.900000,January - December
2023-01-01,2023,1,63.400000,47.700000,32.900000,63.400000,47.700000,32.900000,53.500000,18.500000,January - January
2023-02-01,2023,2,88.500000,62.600000,41.400000,76.000000,55.200000,37.700000,81.000000,9.300000,January - February
2023-03-01,2023,3,93.700000,54.300000,72.600000,81.900000,54.900000,49.200000,72.100000,30.000000,January - March
2023-04-01,2023,4,74.200000,60.800000,22.000000,80.000000,56.400000,41.800000,66.100000,12.300000,January - April
2023-05-01,2023,5,115.500000,84.800000,36.200000,87.100000,62.000000,40.500000,99.100000,16.500000,January - May
2023-06-01,2023,6,164.400000,144.200000,14.000000,100.000000,75.700000,32.100000,142.300000,15.500000,January - June
2023-07-01,2023,7,177.700000,162.300000,9.500000,111.100000,88.100000,26.100000,143.500000,23.800000,January - July
2023-08-01,2023,8,184.900000,176.700000,4.600000,120.300000,99.200000,21.300000,146.500000,26.200000,January - August
2023-09-01,2023,9,161.200000,146.500000,10.000000,124.800000,104.400000,19.500000,122.200000,31.900000,January - September
2023-10-01,2023,10,103.300000,91.300000,13.100000,122.700000,103.100000,19.000000,80.900000,27.700000,January - October
2023-11-01,2023,11,88.700000,85.300000,4.000000,119.600000,101.500000,17.800000,71.900000,23.400000,January - November
2023-12-01,2023,12,63.900000,62.200000,2.700000,115.000000,98.200000,17.100000,53.200000,20.100000,January - December
2024-01-01,2024,1,72.700000,63.400000,14.700000,72.700000,63.400000,14.700000,53.500000,35.900000,January - January
2024-02-01,2024,2,96.200000,88.500000,8.700000,84.500000,76.000000,11.200000,81.000000,18.800000,January - February
2024-03-01,2024,3,105.900000,93.700000,13.000000,91.600000,81.900000,11.800000,72.100000,46.900000,January - March
2024-04-01,2024,4,82.400000,74.200000,11.100000,89.300000,80.000000,11.600000,66.100000,24.700000,January - April
2024-05-01,2024,5,118.900000,115.500000,2.900000,95.200000,87.100000,9.300000,99.100000,20.000000,January - May
2024-06-01,2024,6,179.100000,164.400000,8.900000,109.200000,100.000000,9.200000,142.300000,25.900000,January - June
2024-07-01,2024,7,172.500000,177.700000,-2.900000,118.200000,111.100000,6.400000,143.500000,20.200000,January - July
2024-08-01,2024,8,183.300000,184.900000,-0.900000,126.400000,120.300000,5.100000,146.500000,25.100000,January - August
2024-09-01,2024,9,160.300000,161.200000,-0.600000,130.100000,124.800000,4.200000,122.200000,31.200000,January - September
2024-10-01,2024,10,93.700000,103.300000,-9.300000,126.500000,122.700000,3.100000,80.900000,15.800000,January - October
2024-11-01,2024,11,84.600000,88.700000,-4.600000,122.700000,119.600000,2.600000,71.900000,17.700000,January - November
2024-12-01,2024,12,62.800000,63.900000,-1.700000,117.700000,115.000000,2.300000,53.200000,18.000000,January - December
2025-01-01,2025,1,64.300000,72.700000,-11.600000,64.300000,72.700000,-11.600000,53.500000,20.200000,January - January
2025-02-01,2025,2,88.300000,96.200000,-8.200000,76.300000,84.500000,-9.700000,81.000000,9.000000,January - February
2025-03-01,2025,3,98.300000,105.900000,-7.200000,83.600000,91.600000,-8.700000,72.100000,36.300000,January - March
2025-04-01,2025,4,86.400000,82.400000,4.900000,84.300000,89.300000,-5.600000,66.100000,30.700000,January - April
2025-05-01,2025,5,118.100000,118.900000,-0.700000,91.100000,95.200000,-4.300000,99.100000,19.200000,January - May
2025-06-01,2025,6,176.000000,179.100000,-1.700000,105.200000,109.200000,-3.700000,142.300000,23.700000,January - June
2025-07-01,2025,7,195.900000,172.500000,13.600000,118.200000,118.200000,0.000000,143.500000,36.500000,January - July
2025-08-01,2025,8,179.400000,183.300000,-2.100000,125.800000,126.400000,-0.500000,146.500000,22.500000,January - August
2025-09-01,2025,9,177.900000,160.300000,11.000000,131.600000,130.100000,1.200000,122.200000,45.600000,January - September
2025-10-01,2025,10,93.700000,93.700000,0.000000,127.800000,126.500000,1.000000,80.900000,15.800000,January - October
