date,year,month,industry,monthly_total,prev_year_monthly_total,monthly_percentage_difference,ytd_avg,prev_year_ytd_avg,ytd_percentage_difference,ytd_total_2019,c2019_percentage_difference,ytd_month_range
2015-01-01,2015,1,Accommodation (tourism),49,,,49,0,,60,-18.3,January - January
2015-02-01,2015,2,Accommodation (tourism),54,,,51,0,,59,-13.6,January - February
2015-03-01,2015,3,Accommodation (tourism),54,,,52,0,,60,-13.3,January - March
2015-04-01,2015,4,Accommodation (tourism),54,,,52,0,,60,-13.3,January - April
2015-05-01,2015,5,Accommodation (tourism),55,,,53,0,,61,-13.1,January - May
2015-06-01,2015,6,Accommodation (tourism),53,,,53,0,,62,-14.5,January - June
2015-07-01,2015,7,Accommodation (tourism),54,,,53,0,,62,-14.5,January - July
2015-08-01,2015,8,Accommodation (tourism),57,,,53,0,,62,-14.5,January - August
2015-09-01,2015,9,Accommodation (tourism),55,,,53,0,,62,-14.5,January - September
2015-10-01,2015,10,Accommodation (tourism),54,,,53,0,,62,-14.5,January - October
2015-11-01,2015,11,Accommodation (tourism),51,,,53,0,,62,-14.5,January - November
2015-12-01,2015,12,Accommodation (tourism),55,,,53,0,,62,-14.5,January - December
2015-01-01,2015,1,Air transportation (tourism),15,,,15,0,,16,-6.3,January - January
2015-02-01,2015,2,Air transportation (tourism),13,,,14,0,,16,-12.5,January - February
2015-03-01,2015,3,Air transportation (tourism),13,,,13,0,,16,-18.8,January - March
2015-04-01,2015,4,Air transportation (tourism),13,,,13,0,,16,-18.8,January - April
2015-05-01,2015,5,Air transportation (tourism),14,,,13,0,,16,-18.8,January - May
2015-06-01,2015,6,Air transportation (tourism),14,,,13,0,,16,-18.8,January - June
2015-07-01,2015,7,Air transportation (tourism),14,,,13,0,,16,-18.8,January - July
2015-08-01,2015,8,Air transportation (tourism),14,,,13,0,,16,-18.8,January - August
2015-09-01,2015,9,Air transportation (tourism),14,,,13,0,,16,-18.8,January - September
2015-10-01,2015,10,Air transportation (tourism),14,,,13,0,,16,-18.8,January - October
2015-11-01,2015,11,Air transportation (tourism),14,,,13,0,,16,-18.8,January - November
2015-12-01,2015,12,Air transportation (tourism),15,,,13,0,,15,-13.3,January - December
2015-01-01,2015,1,Food and beverage services (tourism),60,,,60,0,,69,-13.0,January - January
2015-02-01,2015,2,Food and beverage services (tourism),62,,,61,0,,68,-10.3,January - February
2015-03-01,2015,3,Food and beverage services (tourism),61,,,61,0,,68,-10.3,January - March
2015-04-01,2015,4,Food and beverage services (tourism),62,,,61,0,,68,-10.3,January - April
2015-05-01,2015,5,Food and beverage services (tourism),60,,,61,0,,69,-11.6,January - May
2015-06-01,2015,6,Food and beverage services (tourism),61,,,61,0,,69,-11.6,January - June
2015-07-01,2015,7,Food and beverage services (tourism),61,,,61,0,,69,-11.6,January - July
2015-08-01,2015,8,Food and beverage services (tourism),59,,,60,0,,70,-14.3,January - August
2015-09-01,2015,9,Food and beverage services (tourism),61,,,60,0,,70,-14.3,January - September
2015-10-01,2015,10,Food and beverage services (tourism),61,,,60,0,,70,-14.3,January - October
2015-11-01,2015,11,Food and beverage services (tourism),62,,,60,0,,70,-14.3,January - November
2015-12-01,2015,12,Food and beverage services (tourism),61,,,60,0,,70,-14.3,January - December
2015-01-01,2015,1,Recreation and entertainment (tourism),37,,,37,0,,33,12.1,January - January
2015-02-01,2015,2,Recreation and entertainment (tourism),36,,,36,0,,33,9.1,January - February
2015-03-01,2015,3,Recreation and entertainment (tourism),37,,,36,0,,33,9.1,January - March
2015-04-01,2015,4,Recreation and entertainment (tourism),37,,,36,0,,32,12.5,January - April
2015-05-01,2015,5,Recreation and entertainment (tourism),36,,,36,0,,32,12.5,January - May
2015-06-01,2015,6,Recreation and entertainment (tourism),35,,,36,0,,32,12.5,January - June
2015-07-01,2015,7,Recreation and entertainment (tourism),37,,,36,0,,32,12.5,January - July
2015-08-01,2015,8,Recreation and entertainment (tourism),36,,,36,0,,32,12.5,January - August
2015-09-01,2015,9,Recreation and entertainment (tourism),37,,,36,0,,32,12.5,January - September
2015-10-01,2015,10,Recreation and entertainment (tourism),41,,,36,0,,32,12.5,January - October
2015-11-01,2015,11,Recreation and entertainment (tourism),37,,,36,0,,32,12.5,January - November
2015-12-01,2015,12,Recreation and entertainment (tourism),38,,,37,0,,32,15.6,January - December
2015-01-01,2015,1,Total Tourism industry,178,,,178,0,,195,-8.7,January - January
2015-02-01,2015,2,Total Tourism industry,189,,,183,0,,195,-6.2,January - February
2015-03-01,2015,3,Total Tourism industry,186,,,184,0,,195,-5.6,January - March
2015-04-01,2015,4,Total Tourism industry,185,,,184,0,,197,-6.6,January - April
2015-05-01,2015,5,Total Tourism industry,183,,,184,0,,198,-7.1,January - May
2015-06-01,2015,6,Total Tourism industry,185,,,184,0,,199,-7.5,January - June
2015-07-01,2015,7,Total Tourism industry,188,,,184,0,,199,-7.5,January - July
2015-08-01,2015,8,Total Tourism industry,189,,,185,0,,200,-7.5,January - August
2015-09-01,2015,9,Total Tourism industry,189,,,185,0,,200,-7.5,January - September
2015-10-01,2015,10,Total Tourism industry,191,,,186,0,,201,-7.5,January - October
2015-11-01,2015,11,Total Tourism industry,184,,,186,0,,201,-7.5,January - November
2015-12-01,2015,12,Total Tourism industry,192,,,186,0,,201,-7.5,January - December
2016-01-01,2016,1,Accommodation (tourism),57,49,16.3,57,49,16.3,60,-5.0,January - January
2016-02-01,2016,2,Accommodation (tourism),56,54,3.7,56,51,9.8,59,-5.1,January - February
2016-03-01,2016,3,Accommodation (tourism),58,54,7.4,57,52,9.6,60,-5.0,January - March
2016-04-01,2016,4,Accommodation (tourism),58,54,7.4,57,52,9.6,60,-5.0,January - April
2016-05-01,2016,5,Accommodation (tourism),60,55,9.1,57,53,7.5,61,-6.6,January - May
2016-06-01,2016,6,Accommodation (tourism),62,53,17.0,58,53,9.4,62,-6.5,January - June
2016-07-01,2016,7,Accommodation (tourism),63,54,16.7,59,53,11.3,62,-4.8,January - July
2016-08-01,2016,8,Accommodation (tourism),61,57,7.0,59,53,11.3,62,-4.8,January - August
2016-09-01,2016,9,Accommodation (tourism),60,55,9.1,59,53,11.3,62,-4.8,January - September
2016-10-01,2016,10,Accommodation (tourism),60,54,11.1,59,53,11.3,62,-4.8,January - October
2016-11-01,2016,11,Accommodation (tourism),61,51,19.6,59,53,11.3,62,-4.8,January - November
2016-12-01,2016,12,Accommodation (tourism),60,55,9.1,59,53,11.3,62,-4.8,January - December
2016-01-01,2016,1,Air transportation (tourism),15,15,0.0,15,15,0.0,16,-6.3,January - January
2016-02-01,2016,2,Air transportation (tourism),15,13,15.4,15,14,7.1,16,-6.3,January - February
2016-03-01,2016,3,Air transportation (tourism),15,13,15.4,15,13,15.4,16,-6.3,January - March
2016-04-01,2016,4,Air transportation (tourism),15,13,15.4,15,13,15.4,16,-6.3,January - April
2016-05-01,2016,5,Air transportation (tourism),15,14,7.1,15,13,15.4,16,-6.3,January - May
2016-06-01,2016,6,Air transportation (tourism),15,14,7.1,15,13,15.4,16,-6.3,January - June
2016-07-01,2016,7,Air transportation (tourism),15,14,7.1,15,13,15.4,16,-6.3,January - July
2016-08-01,2016,8,Air transportation (tourism),15,14,7.1,15,13,15.4,16,-6.3,January - August
2016-09-01,2016,9,Air transportation (tourism),15,14,7.1,15,13,15.4,16,-6.3,January - September
2016-10-01,2016,10,Air transportation (tourism),15,14,7.1,15,13,15.4,16,-6.3,January - October
2016-11-01,2016,11,Air transportation (tourism),15,14,7.1,15,13,15.4,16,-6.3,January - November
2016-12-01,2016,12,Air transportation (tourism),15,15,0.0,15,13,15.4,15,0.0,January - December
2016-01-01,2016,1,Food and beverage services (tourism),64,60,6.7,64,60,6.7,69,-7.2,January - January
2016-02-01,2016,2,Food and beverage services (tourism),65,62,4.8,64,61,4.9,68,-5.9,January - February
2016-03-01,2016,3,Food and beverage services (tourism),67,61,9.8,65,61,6.6,68,-4.4,January - March
2016-04-01,2016,4,Food and beverage services (tourism),67,62,8.1,65,61,6.6,68,-4.4,January - April
2016-05-01,2016,5,Food and beverage services (tourism),69,60,15.0,66,61,8.2,69,-4.3,January - May
2016-06-01,2016,6,Food and beverage services (tourism),70,61,14.8,67,61,9.8,69,-2.9,January - June
2016-07-01,2016,7,Food and beverage services (tourism),68,61,11.5,67,61,9.8,69,-2.9,January - July
2016-08-01,2016,8,Food and beverage services (tourism),69,59,16.9,67,60,11.7,70,-4.3,January - August
2016-09-01,2016,9,Food and beverage services (tourism),68,61,11.5,67,60,11.7,70,-4.3,January - September
2016-10-01,2016,10,Food and beverage services (tourism),65,61,6.6,67,60,11.7,70,-4.3,January - October
2016-11-01,2016,11,Food and beverage services (tourism),69,62,11.3,67,60,11.7,70,-4.3,January - November
2016-12-01,2016,12,Food and beverage services (tourism),71,61,16.4,67,60,11.7,70,-4.3,January - December
2016-01-01,2016,1,Recreation and entertainment (tourism),37,37,0.0,37,37,0.0,33,12.1,January - January
2016-02-01,2016,2,Recreation and entertainment (tourism),35,36,-2.8,36,36,0.0,33,9.1,January - February
2016-03-01,2016,3,Recreation and entertainment (tourism),35,37,-5.4,35,36,-2.8,33,6.1,January - March
2016-04-01,2016,4,Recreation and entertainment (tourism),39,37,5.4,36,36,0.0,32,12.5,January - April
2016-05-01,2016,5,Recreation and entertainment (tourism),42,36,16.7,37,36,2.8,32,15.6,January - May
2016-06-01,2016,6,Recreation and entertainment (tourism),40,35,14.3,38,36,5.6,32,18.8,January - June
2016-07-01,2016,7,Recreation and entertainment (tourism),40,37,8.1,38,36,5.6,32,18.8,January - July
2016-08-01,2016,8,Recreation and entertainment (tourism),40,36,11.1,38,36,5.6,32,18.8,January - August
2016-09-01,2016,9,Recreation and entertainment (tourism),40,37,8.1,38,36,5.6,32,18.8,January - September
2016-10-01,2016,10,Recreation and entertainment (tourism),39,41,-4.9,38,36,5.6,32,18.8,January - October
2016-11-01,2016,11,Recreation and entertainment (tourism),39,37,5.4,38,36,5.6,32,18.8,January - November
2016-12-01,2016,12,Recreation and entertainment (tourism),38,38,0.0,38,37,2.7,32,18.8,January - December
2016-01-01,2016,1,Total Tourism industry,192,178,7.9,192,178,7.9,195,-1.5,January - January
2016-02-01,2016,2,Total Tourism industry,191,189,1.1,191,183,4.4,195,-2.1,January - February
2016-03-01,2016,3,Total Tourism industry,193,186,3.8,192,184,4.3,195,-1.5,January - March
2016-04-01,2016,4,Total Tourism industry,198,185,7.0,193,184,4.9,197,-2.0,January - April
2016-05-01,2016,5,Total Tourism industry,202,183,10.4,195,184,6.0,198,-1.5,January - May
2016-06-01,2016,6,Total Tourism industry,208,185,12.4,197,184,7.1,199,-1.0,January - June
2016-07-01,2016,7,Total Tourism industry,203,188,8.0,198,184,7.6,199,-0.5,January - July
2016-08-01,2016,8,Total Tourism industry,203,189,7.4,198,185,7.0,200,-1.0,January - August
2016-09-01,2016,9,Total Tourism industry,201,189,6.3,199,185,7.6,200,-0.5,January - September
2016-10-01,2016,10,Total Tourism industry,200,191,4.7,199,186,7.0,201,-1.0,January - October
2016-11-01,2016,11,Total Tourism industry,202,184,9.8,199,186,7.0,201,-1.0,January - November
2016-12-01,2016,12,Total Tourism industry,201,192,4.7,199,186,7.0,201,-1.0,January - December
2017-01-01,2017,1,Accommodation (tourism),61,57,7.0,61,57,7.0,60,1.7,January - January
2017-02-01,2017,2,Accommodation (tourism),60,56,7.1,60,56,7.1,59,1.7,January - February
2017-03-01,2017,3,Accommodation (tourism),56,58,-3.4,59,57,3.5,60,-1.7,January - March
2017-04-01,2017,4,Accommodation (tourism),60,58,3.4,59,57,3.5,60,-1.7,January - April
2017-05-01,2017,5,Accommodation (tourism),60,60,0.0,59,57,3.5,61,-3.3,January - May
2017-06-01,2017,6,Accommodation (tourism),61,62,-1.6,59,58,1.7,62,-4.8,January - June
2017-07-01,2017,7,Accommodation (tourism),60,63,-4.8,59,59,0.0,62,-4.8,January - July
2017-08-01,2017,8,Accommodation (tourism),59,61,-3.3,59,59,0.0,62,-4.8,January - August
2017-09-01,2017,9,Accommodation (tourism),62,60,3.3,59,59,0.0,62,-4.8,January - September
2017-10-01,2017,10,Accommodation (tourism),64,60,6.7,60,59,1.7,62,-3.2,January - October
2017-11-01,2017,11,Accommodation (tourism),61,61,0.0,60,59,1.7,62,-3.2,January - November
2017-12-01,2017,12,Accommodation (tourism),60,60,0.0,60,59,1.7,62,-3.2,January - December
2017-01-01,2017,1,Air transportation (tourism),15,15,0.0,15,15,0.0,16,-6.3,January - January
2017-02-01,2017,2,Air transportation (tourism),15,15,0.0,15,15,0.0,16,-6.3,January - February
2017-03-01,2017,3,Air transportation (tourism),15,15,0.0,15,15,0.0,16,-6.3,January - March
2017-04-01,2017,4,Air transportation (tourism),16,15,6.7,15,15,0.0,16,-6.3,January - April
2017-05-01,2017,5,Air transportation (tourism),16,15,6.7,15,15,0.0,16,-6.3,January - May
2017-06-01,2017,6,Air transportation (tourism),16,15,6.7,15,15,0.0,16,-6.3,January - June
2017-07-01,2017,7,Air transportation (tourism),16,15,6.7,15,15,0.0,16,-6.3,January - July
2017-08-01,2017,8,Air transportation (tourism),16,15,6.7,15,15,0.0,16,-6.3,January - August
2017-09-01,2017,9,Air transportation (tourism),16,15,6.7,15,15,0.0,16,-6.3,January - September
2017-10-01,2017,10,Air transportation (tourism),15,15,0.0,15,15,0.0,16,-6.3,January - October
2017-11-01,2017,11,Air transportation (tourism),15,15,0.0,15,15,0.0,16,-6.3,January - November
2017-12-01,2017,12,Air transportation (tourism),15,15,0.0,15,15,0.0,15,0.0,January - December
2017-01-01,2017,1,Food and beverage services (tourism),70,64,9.4,70,64,9.4,69,1.4,January - January
2017-02-01,2017,2,Food and beverage services (tourism),67,65,3.1,68,64,6.3,68,0.0,January - February
2017-03-01,2017,3,Food and beverage services (tourism),67,67,0.0,68,65,4.6,68,0.0,January - March
2017-04-01,2017,4,Food and beverage services (tourism),67,67,0.0,67,65,3.1,68,-1.5,January - April
2017-05-01,2017,5,Food and beverage services (tourism),72,69,4.3,68,66,3.0,69,-1.4,January - May
2017-06-01,2017,6,Food and beverage services (tourism),69,70,-1.4,68,67,1.5,69,-1.4,January - June
2017-07-01,2017,7,Food and beverage services (tourism),69,68,1.5,68,67,1.5,69,-1.4,January - July
2017-08-01,2017,8,Food and beverage services (tourism),70,69,1.4,68,67,1.5,70,-2.9,January - August
2017-09-01,2017,9,Food and beverage services (tourism),68,68,0.0,68,67,1.5,70,-2.9,January - September
2017-10-01,2017,10,Food and beverage services (tourism),67,65,3.1,68,67,1.5,70,-2.9,January - October
2017-11-01,2017,11,Food and beverage services (tourism),67,69,-2.9,68,67,1.5,70,-2.9,January - November
2017-12-01,2017,12,Food and beverage services (tourism),66,71,-7.0,68,67,1.5,70,-2.9,January - December
2017-01-01,2017,1,Recreation and entertainment (tourism),39,37,5.4,39,37,5.4,33,18.2,January - January
2017-02-01,2017,2,Recreation and entertainment (tourism),38,35,8.6,38,36,5.6,33,15.2,January - February
2017-03-01,2017,3,Recreation and entertainment (tourism),37,35,5.7,38,35,8.6,33,15.2,January - March
2017-04-01,2017,4,Recreation and entertainment (tourism),36,39,-7.7,37,36,2.8,32,15.6,January - April
2017-05-01,2017,5,Recreation and entertainment (tourism),37,42,-11.9,37,37,0.0,32,15.6,January - May
2017-06-01,2017,6,Recreation and entertainment (tourism),36,40,-10.0,37,38,-2.6,32,15.6,January - June
2017-07-01,2017,7,Recreation and entertainment (tourism),36,40,-10.0,37,38,-2.6,32,15.6,January - July
2017-08-01,2017,8,Recreation and entertainment (tourism),36,40,-10.0,36,38,-5.3,32,12.5,January - August
2017-09-01,2017,9,Recreation and entertainment (tourism),36,40,-10.0,36,38,-5.3,32,12.5,January - September
2017-10-01,2017,10,Recreation and entertainment (tourism),34,39,-12.8,36,38,-5.3,32,12.5,January - October
2017-11-01,2017,11,Recreation and entertainment (tourism),36,39,-7.7,36,38,-5.3,32,12.5,January - November
2017-12-01,2017,12,Recreation and entertainment (tourism),35,38,-7.9,36,38,-5.3,32,12.5,January - December
2017-01-01,2017,1,Total Tourism industry,202,192,5.2,202,192,5.2,195,3.6,January - January
2017-02-01,2017,2,Total Tourism industry,201,191,5.2,201,191,5.2,195,3.1,January - February
2017-03-01,2017,3,Total Tourism industry,192,193,-0.5,198,192,3.1,195,1.5,January - March
2017-04-01,2017,4,Total Tourism industry,199,198,0.5,198,193,2.6,197,0.5,January - April
2017-05-01,2017,5,Total Tourism industry,202,202,0.0,199,195,2.1,198,0.5,January - May
2017-06-01,2017,6,Total Tourism industry,202,208,-2.9,199,197,1.0,199,0.0,January - June
2017-07-01,2017,7,Total Tourism industry,199,203,-2.0,199,198,0.5,199,0.0,January - July
2017-08-01,2017,8,Total Tourism industry,200,203,-1.5,199,198,0.5,200,-0.5,January - August
2017-09-01,2017,9,Total Tourism industry,202,201,0.5,199,199,0.0,200,-0.5,January - September
2017-10-01,2017,10,Total Tourism industry,200,200,0.0,199,199,0.0,201,-1.0,January - October
2017-11-01,2017,11,Total Tourism industry,198,202,-2.0,199,199,0.0,201,-1.0,January - November
2017-12-01,2017,12,Total Tourism industry,197,201,-2.0,199,199,0.0,201,-1.0,January - December
2018-01-01,2018,1,Accommodation (tourism),60,61,-1.6,60,61,-1.6,60,0.0,January - January
2018-02-01,2018,2,Accommodation (tourism),61,60,1.7,60,60,0.0,59,1.7,January - February
2018-03-01,2018,3,Accommodation (tourism),62,56,10.7,61,59,3.4,60,1.7,January - March
2018-04-01,2018,4,Accommodation (tourism),61,60,1.7,61,59,3.4,60,1.7,January - April
2018-05-01,2018,5,Accommodation (tourism),59,60,-1.7,60,59,1.7,61,-1.6,January - May
2018-06-01,2018,6,Accommodation (tourism),60,61,-1.6,60,59,1.7,62,-3.2,January - June
2018-07-01,2018,7,Accommodation (tourism),61,60,1.7,60,59,1.7,62,-3.2,January - July
2018-08-01,2018,8,Accommodation (tourism),63,59,6.8,60,59,1.7,62,-3.2,January - August
2018-09-01,2018,9,Accommodation (tourism),63,62,1.6,61,59,3.4,62,-1.6,January - September
2018-10-01,2018,10,Accommodation (tourism),62,64,-3.1,61,60,1.7,62,-1.6,January - October
2018-11-01,2018,11,Accommodation (tourism),59,61,-3.3,61,60,1.7,62,-1.6,January - November
2018-12-01,2018,12,Accommodation (tourism),60,60,0.0,60,60,0.0,62,-3.2,January - December
2018-01-01,2018,1,Air transportation (tourism),15,15,0.0,15,15,0.0,16,-6.3,January - January
2018-02-01,2018,2,Air transportation (tourism),14,15,-6.7,14,15,-6.7,16,-12.5,January - February
2018-03-01,2018,3,Air transportation (tourism),15,15,0.0,14,15,-6.7,16,-12.5,January - March
2018-04-01,2018,4,Air transportation (tourism),16,16,0.0,15,15,0.0,16,-6.3,January - April
2018-05-01,2018,5,Air transportation (tourism),17,16,6.3,15,15,0.0,16,-6.3,January - May
2018-06-01,2018,6,Air transportation (tourism),17,16,6.3,15,15,0.0,16,-6.3,January - June
2018-07-01,2018,7,Air transportation (tourism),17,16,6.3,15,15,0.0,16,-6.3,January - July
2018-08-01,2018,8,Air transportation (tourism),17,16,6.3,16,15,6.7,16,0.0,January - August
2018-09-01,2018,9,Air transportation (tourism),17,16,6.3,16,15,6.7,16,0.0,January - September
2018-10-01,2018,10,Air transportation (tourism),15,15,0.0,16,15,6.7,16,0.0,January - October
2018-11-01,2018,11,Air transportation (tourism),16,15,6.7,16,15,6.7,16,0.0,January - November
2018-12-01,2018,12,Air transportation (tourism),16,15,6.7,16,15,6.7,15,6.7,January - December
2018-01-01,2018,1,Food and beverage services (tourism),66,70,-5.7,66,70,-5.7,69,-4.3,January - January
2018-02-01,2018,2,Food and beverage services (tourism),67,67,0.0,66,68,-2.9,68,-2.9,January - February
2018-03-01,2018,3,Food and beverage services (tourism),68,67,1.5,67,68,-1.5,68,-1.5,January - March
